[Pathway Id]	[Pathway]	[Genes]	[Pathway Source]	
ec00010	Glycolysis / Gluconeogenesis	CNAG_00038 | CNAG_00057 | CNAG_00515 | CNAG_00735 | CNAG_00797 | CNAG_01078 | CNAG_01120 | CNAG_01675 | CNAG_01820 | CNAG_01955 | CNAG_02035 | CNAG_02377 | CNAG_02489 | CNAG_02736 | CNAG_02903 | CNAG_03072 | CNAG_03358 | CNAG_03916 | CNAG_04217 | CNAG_04523 | CNAG_04659 | CNAG_04676 | CNAG_05059 | CNAG_05113 | CNAG_06035 | CNAG_06313 | CNAG_06628 | CNAG_06699 | CNAG_06770 | CNAG_07004 | CNAG_07316 | CNAG_07559 | CNAG_07660 | CNAG_07745	KEGG	
ec00020	Citrate cycle (TCA cycle)	CNAG_00061 | CNAG_00747 | CNAG_01120 | CNAG_01264 | CNAG_01657 | CNAG_01680 | CNAG_02736 | CNAG_03225 | CNAG_03226 | CNAG_03266 | CNAG_03375 | CNAG_03596 | CNAG_03674 | CNAG_03920 | CNAG_04189 | CNAG_04217 | CNAG_04468 | CNAG_04535 | CNAG_04640 | CNAG_05059 | CNAG_05236 | CNAG_05907 | CNAG_07004 | CNAG_07356 | CNAG_07363 | CNAG_07660 | CNAG_07851 | CNAG_07944	KEGG	
ec00030	Pentose phosphate pathway	CNAG_00030 | CNAG_00057 | CNAG_00684 | CNAG_00827 | CNAG_01216 | CNAG_01395 | CNAG_01541 | CNAG_01675 | CNAG_01984 | CNAG_02133 | CNAG_02296 | CNAG_03048 | CNAG_03245 | CNAG_03335 | CNAG_03882 | CNAG_03916 | CNAG_04676 | CNAG_05365 | CNAG_05379 | CNAG_06313 | CNAG_06770 | CNAG_07445 | CNAG_07561	KEGG	
ec00040	Pentose and glucuronate interconversions	CNAG_00105 | CNAG_00141 | CNAG_00251 | CNAG_00684 | CNAG_00735 | CNAG_00836 | CNAG_00854 | CNAG_01078 | CNAG_01097 | CNAG_01116 | CNAG_01257 | CNAG_01558 | CNAG_01615 | CNAG_01758 | CNAG_01777 | CNAG_01794 | CNAG_01896 | CNAG_01914 | CNAG_01947 | CNAG_01952 | CNAG_01954 | CNAG_02181 | CNAG_02182 | CNAG_02377 | CNAG_02473 | CNAG_02478 | CNAG_02553 | CNAG_02717 | CNAG_02748 | CNAG_02925 | CNAG_03011 | CNAG_03400 | CNAG_03983 | CNAG_04112 | CNAG_04209 | CNAG_04374 | CNAG_04392 | CNAG_04394 | CNAG_04631 | CNAG_04657 | CNAG_04955 | CNAG_04969 | CNAG_05095 | CNAG_05113 | CNAG_05243 | CNAG_05534 | CNAG_05979 | CNAG_06027 | CNAG_06606 | CNAG_06628 | CNAG_06764 | CNAG_07731 | CNAG_07782 | CNAG_07801	KEGG	
ec00051	Fructose and mannose metabolism	CNAG_00005 | CNAG_00057 | CNAG_00105 | CNAG_00115 | CNAG_00141 | CNAG_00263 | CNAG_00269 | CNAG_00331 | CNAG_00390 | CNAG_00488 | CNAG_00827 | CNAG_00836 | CNAG_01050 | CNAG_01070 | CNAG_01097 | CNAG_01116 | CNAG_01257 | CNAG_01385 | CNAG_01395 | CNAG_01512 | CNAG_01558 | CNAG_01615 | CNAG_01675 | CNAG_01744 | CNAG_01777 | CNAG_01794 | CNAG_01813 | CNAG_01896 | CNAG_01914 | CNAG_01947 | CNAG_01949 | CNAG_01952 | CNAG_01954 | CNAG_02012 | CNAG_02035 | CNAG_02109 | CNAG_02181 | CNAG_02182 | CNAG_02312 | CNAG_02375 | CNAG_02473 | CNAG_02478 | CNAG_02553 | CNAG_02715 | CNAG_02717 | CNAG_02871 | CNAG_02892 | CNAG_03011 | CNAG_03113 | CNAG_03158 | CNAG_03320 | CNAG_03400 | CNAG_03560 | CNAG_03564 | CNAG_03648 | CNAG_03697 | CNAG_03832 | CNAG_03855 | CNAG_03983 | CNAG_04096 | CNAG_04112 | CNAG_04152 | CNAG_04209 | CNAG_04221 | CNAG_04312 | CNAG_04320 | CNAG_04392 | CNAG_04410 | CNAG_04475 | CNAG_04657 | CNAG_04676 | CNAG_04677 | CNAG_04744 | CNAG_04869 | CNAG_04955 | CNAG_05095 | CNAG_05148 | CNAG_05351 | CNAG_05534 | CNAG_05639 | CNAG_05658 | CNAG_05677 | CNAG_05692 | CNAG_05881 | CNAG_05979 | CNAG_06027 | CNAG_06065 | CNAG_06080 | CNAG_06122 | CNAG_06501 | CNAG_06504 | CNAG_06606 | CNAG_06764 | CNAG_06770 | CNAG_06918 | CNAG_06922 | CNAG_07372 | CNAG_07527 | CNAG_07544 | CNAG_07547 | CNAG_07740 | CNAG_07782 | CNAG_07801	KEGG	
ec00052	Galactose metabolism	CNAG_00697 | CNAG_00831 | CNAG_02748 | CNAG_02790 | CNAG_03096 | CNAG_03532 | CNAG_03875 | CNAG_03946 | CNAG_04344 | CNAG_04676 | CNAG_04753 | CNAG_05430 | CNAG_05471 | CNAG_05913 | CNAG_06050 | CNAG_06051 | CNAG_06052 | CNAG_06055 | CNAG_06190 | CNAG_06260 | CNAG_06313 | CNAG_06924	KEGG	
ec00053	Ascorbate and aldarate metabolism	CNAG_00005 | CNAG_00030 | CNAG_00032 | CNAG_00105 | CNAG_00141 | CNAG_00251 | CNAG_00263 | CNAG_00331 | CNAG_00390 | CNAG_00488 | CNAG_00601 | CNAG_00644 | CNAG_00696 | CNAG_00735 | CNAG_00836 | CNAG_01078 | CNAG_01079 | CNAG_01097 | CNAG_01116 | CNAG_01257 | CNAG_01421 | CNAG_01512 | CNAG_01558 | CNAG_01615 | CNAG_01744 | CNAG_01776 | CNAG_01777 | CNAG_01794 | CNAG_01846 | CNAG_01896 | CNAG_01914 | CNAG_01947 | CNAG_01952 | CNAG_01954 | CNAG_01987 | CNAG_02012 | CNAG_02081 | CNAG_02109 | CNAG_02181 | CNAG_02182 | CNAG_02312 | CNAG_02375 | CNAG_02377 | CNAG_02473 | CNAG_02478 | CNAG_02553 | CNAG_02602 | CNAG_02717 | CNAG_02860 | CNAG_03011 | CNAG_03240 | CNAG_03400 | CNAG_03560 | CNAG_03564 | CNAG_03697 | CNAG_03854 | CNAG_03983 | CNAG_04112 | CNAG_04152 | CNAG_04183 | CNAG_04209 | CNAG_04392 | CNAG_04410 | CNAG_04417 | CNAG_04475 | CNAG_04498 | CNAG_04657 | CNAG_04753 | CNAG_04869 | CNAG_04955 | CNAG_04969 | CNAG_05095 | CNAG_05113 | CNAG_05379 | CNAG_05534 | CNAG_05607 | CNAG_05639 | CNAG_05677 | CNAG_05692 | CNAG_05842 | CNAG_05915 | CNAG_05979 | CNAG_05991 | CNAG_06027 | CNAG_06065 | CNAG_06080 | CNAG_06122 | CNAG_06504 | CNAG_06623 | CNAG_06628 | CNAG_06644 | CNAG_06764 | CNAG_06922 | CNAG_07318 | CNAG_07544 | CNAG_07547 | CNAG_07731 | CNAG_07740 | CNAG_07782 | CNAG_07801	KEGG	
ec00061	Fatty acid biosynthesis	CNAG_00126 | CNAG_00234 | CNAG_00289 | CNAG_00365 | CNAG_00429 | CNAG_00484 | CNAG_00688 | CNAG_01137 | CNAG_01247 | CNAG_01489 | CNAG_01656 | CNAG_02099 | CNAG_02100 | CNAG_02259 | CNAG_02752 | CNAG_02969 | CNAG_03427 | CNAG_03455 | CNAG_03942 | CNAG_04097 | CNAG_04228 | CNAG_04242 | CNAG_04355 | CNAG_04383 | CNAG_04652 | CNAG_04926 | CNAG_05023 | CNAG_05268 | CNAG_05376 | CNAG_05644 | CNAG_05730 | CNAG_05759 | CNAG_05851 | CNAG_06379 | CNAG_06759 | CNAG_06997 | CNAG_07570 | CNAG_07908 | CNAG_07937	KEGG	
ec00062	Fatty acid elongation	CNAG_00098 | CNAG_00490 | CNAG_02372 | CNAG_02487 | CNAG_03080 | CNAG_03134 | CNAG_04308 | CNAG_04488 | CNAG_04531 | CNAG_04553 | CNAG_05378	KEGG	
ec00071	Fatty acid degradation	CNAG_00038 | CNAG_00452 | CNAG_00490 | CNAG_00515 | CNAG_00524 | CNAG_00735 | CNAG_01078 | CNAG_01955 | CNAG_02377 | CNAG_02489 | CNAG_02562 | CNAG_02903 | CNAG_02918 | CNAG_03019 | CNAG_03134 | CNAG_03666 | CNAG_04308 | CNAG_04485 | CNAG_04531 | CNAG_04553 | CNAG_04688 | CNAG_05113 | CNAG_05378 | CNAG_06035 | CNAG_06431 | CNAG_06551 | CNAG_06628 | CNAG_07316 | CNAG_07745 | CNAG_07747	KEGG	
ec00072	Synthesis and degradation of ketone bodies	CNAG_00524 | CNAG_02896 | CNAG_02918 | CNAG_03067 | CNAG_03311 | CNAG_05031	KEGG	
ec00100	Steroid biosynthesis	CNAG_00040 | CNAG_00117 | CNAG_00594 | CNAG_00644 | CNAG_00854 | CNAG_01737 | CNAG_02602 | CNAG_02830 | CNAG_03531 | CNAG_03819 | CNAG_04417 | CNAG_04605 | CNAG_05842 | CNAG_05860 | CNAG_06644 | CNAG_07437 | CNAG_07510	KEGG	
ec00120	Primary bile acid biosynthesis	CNAG_03134 | CNAG_03393 | CNAG_04274 | CNAG_04308 | CNAG_04553 | CNAG_05378	KEGG	
ec00130	Ubiquinone and other terpenoid-quinone biosynthesis	CNAG_00138 | CNAG_00231 | CNAG_00259 | CNAG_00409 | CNAG_00434 | CNAG_00601 | CNAG_00644 | CNAG_00690 | CNAG_00696 | CNAG_00750 | CNAG_00863 | CNAG_00874 | CNAG_00993 | CNAG_01104 | CNAG_01416 | CNAG_01421 | CNAG_01546 | CNAG_01667 | CNAG_01987 | CNAG_02081 | CNAG_02185 | CNAG_02317 | CNAG_02335 | CNAG_02383 | CNAG_02475 | CNAG_02583 | CNAG_02602 | CNAG_02609 | CNAG_02782 | CNAG_02784 | CNAG_02829 | CNAG_02860 | CNAG_02907 | CNAG_02996 | CNAG_03068 | CNAG_03185 | CNAG_03240 | CNAG_03724 | CNAG_03762 | CNAG_03776 | CNAG_03854 | CNAG_03863 | CNAG_03890 | CNAG_03994 | CNAG_04000 | CNAG_04031 | CNAG_04035 | CNAG_04183 | CNAG_04188 | CNAG_04195 | CNAG_04264 | CNAG_04375 | CNAG_04417 | CNAG_04447 | CNAG_04487 | CNAG_04498 | CNAG_04561 | CNAG_04571 | CNAG_04770 | CNAG_04777 | CNAG_04905 | CNAG_04934 | CNAG_05149 | CNAG_05202 | CNAG_05217 | CNAG_05607 | CNAG_05672 | CNAG_05676 | CNAG_05842 | CNAG_05915 | CNAG_05991 | CNAG_06022 | CNAG_06520 | CNAG_06566 | CNAG_06570 | CNAG_06644 | CNAG_06891 | CNAG_06919 | CNAG_07318 | CNAG_07389	KEGG	
ec00140	Steroid hormone biosynthesis	CNAG_00105 | CNAG_00141 | CNAG_00836 | CNAG_00863 | CNAG_00993 | CNAG_01097 | CNAG_01116 | CNAG_01257 | CNAG_01498 | CNAG_01558 | CNAG_01615 | CNAG_01777 | CNAG_01794 | CNAG_01896 | CNAG_01914 | CNAG_01947 | CNAG_01952 | CNAG_01954 | CNAG_02181 | CNAG_02182 | CNAG_02473 | CNAG_02475 | CNAG_02478 | CNAG_02553 | CNAG_02717 | CNAG_02996 | CNAG_03011 | CNAG_03400 | CNAG_03983 | CNAG_04112 | CNAG_04209 | CNAG_04264 | CNAG_04392 | CNAG_04561 | CNAG_04657 | CNAG_04955 | CNAG_05095 | CNAG_05534 | CNAG_05979 | CNAG_06027 | CNAG_06764 | CNAG_07389 | CNAG_07782 | CNAG_07801	KEGG	
ec00190	Oxidative phosphorylation	CNAG_00254 | CNAG_00448 | CNAG_00560 | CNAG_00573 | CNAG_00713 | CNAG_00894 | CNAG_00978 | CNAG_00990 | CNAG_01204 | CNAG_01287 | CNAG_01321 | CNAG_01323 | CNAG_01451 | CNAG_01470 | CNAG_01586 | CNAG_01799 | CNAG_01991 | CNAG_02140 | CNAG_02266 | CNAG_02315 | CNAG_02326 | CNAG_02443 | CNAG_02485 | CNAG_02545 | CNAG_02762 | CNAG_02833 | CNAG_02916 | CNAG_02938 | CNAG_02961 | CNAG_03025 | CNAG_03226 | CNAG_03359 | CNAG_03544 | CNAG_03565 | CNAG_03629 | CNAG_03861 | CNAG_04189 | CNAG_04378 | CNAG_04439 | CNAG_04612 | CNAG_04739 | CNAG_05041 | CNAG_05132 | CNAG_05162 | CNAG_05197 | CNAG_05434 | CNAG_05631 | CNAG_05633 | CNAG_05688 | CNAG_05750 | CNAG_05788 | CNAG_05839 | CNAG_05909 | CNAG_05918 | CNAG_06138 | CNAG_06147 | CNAG_06180 | CNAG_06400 | CNAG_06663 | CNAG_06767 | CNAG_07177 | CNAG_07356 | CNAG_07487 | CNAG_09000 | CNAG_09004 | CNAG_09005 | CNAG_09006 | CNAG_09007 | CNAG_09009 | CNAG_09010 | CNAG_09011 | CNAG_09012	KEGG	
ec00195	Photosynthesis	CNAG_00448 | CNAG_00894 | CNAG_00990 | CNAG_01204 | CNAG_01586 | CNAG_02326 | CNAG_02485 | CNAG_02762 | CNAG_02916 | CNAG_02961 | CNAG_04439 | CNAG_05162 | CNAG_05688 | CNAG_05750 | CNAG_05788 | CNAG_05918 | CNAG_06767 | CNAG_07487	KEGG	
