[Gene ID]	[source_id]	[Input Ortholog(s)]	
CNA00010	CNA00010-t26_1	 CNAG_06526	
CNA00020	CNA00020-t26_1	 CNAG_00011	
CNA00030	CNA00030-t26_1	 CNAG_00010	
CNA00040	CNA00040-t26_1	 CNAG_00009	
CNA00050	CNA00050-t26_1	 CNAG_00008	
CNA00060	CNA00060-t26_1	 CNAG_00007	
CNA00070	CNA00070-t26_1	 CNAG_00006	
CNA00080	CNA00080-t26_1	 CNAG_00015	
CNA00090	CNA00090-t26_1	 CNAG_00016	
CNA00100	CNA00100-t26_1	 CNAG_00017	
CNA00110	CNA00110-t26_1	 CNAG_00018	
CNA00120	CNA00120-t26_1	 CNAG_00019	
CNA00130	CNA00130-t26_1	 CNAG_00020	
CNA00140	CNA00140-t26_1	 CNAG_00021	
CNA00150	CNA00150-t26_1	 CNAG_00022	
CNA00160	CNA00160-t26_1	 CNAG_00023	
CNA00160	CNA00160-t26_2	 CNAG_00023	
CNA00170	CNA00170-t26_1	 CNAG_00024	
CNA00170	CNA00170-t26_2	 CNAG_00024	
CNA00170	CNA00170-t26_3	 CNAG_00024	
CNA00180	CNA00180-t26_1	 CNAG_00025	
CNA00180	CNA00180-t26_2	 CNAG_00025	
CNA00190	CNA00190-t26_1	 CNAG_00026	
CNA00200	CNA00200-t26_1	 CNAG_00027	
CNA00210	CNA00210-t26_1	 CNAG_00028	
CNA00220	CNA00220-t26_1	 CNAG_00029	
CNA00225	CNA00225-t26_1	 CNAG_00030	
CNA00230	CNA00230-t26_1	 CNAG_00031	
CNA00240	CNA00240-t26_1	 CNAG_00032	
CNA00250	CNA00250-t26_1	 CNAG_00034	
CNA00260	CNA00260-t26_1	 CNAG_00035	
CNA00270	CNA00270-t26_1	 CNAG_00036	
CNA00280	CNA00280-t26_1	 CNAG_00038	
CNA00290	CNA00290-t26_1	 CNAG_00039	
CNA00300	CNA00300-t26_1	 CNAG_00040	
CNA00310	CNA00310-t26_1	 CNAG_07308	
CNA00310	CNA00310-t26_2	 CNAG_07308	
CNA00320	CNA00320-t26_1	 CNAG_00043	
CNA00330	CNA00330-t26_1	 CNAG_00044	
CNA00340	CNA00340-t26_1	 CNAG_00045	
CNA00350	CNA00350-t26_1	 CNAG_00046	
CNA00360	CNA00360-t26_1	 CNAG_00047	
CNA00370	CNA00370-t26_1	 CNAG_00048	
CNA00380	CNA00380-t26_1	 CNAG_00049	
CNA00390	CNA00390-t26_1	 CNAG_00050	
CNA00400	CNA00400-t26_1	 CNAG_00051	
CNA00410	CNA00410-t26_1	 CNAG_00052	
CNA00420	CNA00420-t26_1	 CNAG_00053	
CNA00430	CNA00430-t26_1	 CNAG_00054	
CNA00460	CNA00460-t26_1	 CNAG_00056	
CNA00470	CNA00470-t26_1	 CNAG_00057	
CNA00480	CNA00480-t26_1	 CNAG_00058	
CNA00485	CNA00485-t26_1	 CNAG_00059	
CNA00490	CNA00490-t26_1	 CNAG_00060	
CNA00510	CNA00510-t26_1	 CNAG_00061	
CNA00520	CNA00520-t26_1	 CNAG_00151	
CNA00530	CNA00530-t26_1	 CNAG_00062	
CNA00540	CNA00540-t26_1	 CNAG_00063	
CNA00550	CNA00550-t26_1	 CNAG_00064	
CNA00560	CNA00560-t26_1	 CNAG_00065	
