[Gene ID]	[source_id]	[Input Ortholog(s)]	
CNAG_00006	CNAG_00006-t26_1	 CNA00070	
CNAG_00007	CNAG_00007-t26_1	 CNA00060	
CNAG_00008	CNAG_00008-t26_1	 CNA00050	
CNAG_00009	CNAG_00009-t26_1	 CNA00040	
CNAG_00010	CNAG_00010-t26_1	 CNA00030	
CNAG_00011	CNAG_00011-t26_1	 CNA00020	
CNAG_00015	CNAG_00015-t26_1	 CNA00080	
CNAG_00016	CNAG_00016-t26_1	 CNA00090	
CNAG_00017	CNAG_00017-t26_1	 CNA00100	
CNAG_00018	CNAG_00018-t26_1	 CNA00110	
CNAG_00019	CNAG_00019-t26_1	 CNA00120	
CNAG_00020	CNAG_00020-t26_1	 CNA00130	
CNAG_00021	CNAG_00021-t26_1	 CNA00140	
CNAG_00022	CNAG_00022-t26_1	 CNA00150	
CNAG_00023	CNAG_00023-t26_1	 CNA00160	
CNAG_00024	CNAG_00024-t26_1	 CNA00170	
CNAG_00024	CNAG_00024-t26_2	 CNA00170	
CNAG_00024	CNAG_00024-t26_3	 CNA00170	
CNAG_00025	CNAG_00025-t26_1	 CNA00180	
CNAG_00025	CNAG_00025-t26_2	 CNA00180	
CNAG_00026	CNAG_00026-t26_1	 CNA00190	
CNAG_00026	CNAG_00026-t26_2	 CNA00190	
CNAG_00027	CNAG_00027-t26_1	 CNA00200	
CNAG_00028	CNAG_00028-t26_1	 CNA00210	
CNAG_00028	CNAG_00028-t26_2	 CNA00210	
CNAG_00029	CNAG_00029-t26_1	 CNA00220	
CNAG_00030	CNAG_00030-t26_1	 CNA00225	
CNAG_00030	CNAG_00030-t26_2	 CNA00225	
CNAG_00031	CNAG_00031-t26_1	 CNA00230	
CNAG_00031	CNAG_00031-t26_2	 CNA00230	
CNAG_00032	CNAG_00032-t26_1	 CNA00240	
CNAG_00034	CNAG_00034-t26_1	 CNA00250	
CNAG_00035	CNAG_00035-t26_1	 CNA00260	
CNAG_00036	CNAG_00036-t26_1	 CNA00270	
CNAG_00038	CNAG_00038-t26_1	 CNA00280	
CNAG_00039	CNAG_00039-t26_1	 CNA00290	
CNAG_00040	CNAG_00040-t26_1	 CNA00300	
CNAG_00043	CNAG_00043-t26_1	 CNA00320	
